dataset,datasetId,project,projectId,siteName,siteId,siteVisitName,siteVisitId,siteVisitStartDate,siteVisitEndDate,description
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Litchfield Savanna, core1ha",https://w3id.org/tern/resources/e8352226-d426-42b0-98f5-d43c7bde9aa7,20130820,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-litchfield_savanna__core1ha_20130820,2013-08-20T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Litchfield Savanna, core1ha",https://w3id.org/tern/resources/e8352226-d426-42b0-98f5-d43c7bde9aa7,20150706,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-litchfield_savanna__core1ha_20150706,2015-07-06T00:00:00Z,2015-07-09T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20100924,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20100924,2010-09-24T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20141016,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20141016,2014-10-16T00:00:00Z,2014-10-19T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20150409,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20150409,2015-04-09T00:00:00Z,2015-04-12T00:00:00Z,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20150615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20150615,2015-06-15T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, core1ha",https://w3id.org/tern/resources/a43b36cd-fa4f-43cd-b58b-f687ad536939,20190615,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__core1ha_20190615,2019-06-15T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 10",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha10,20111008,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_10_20111008,2011-10-08T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 11",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha11,20110809,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_11_20110809,2011-08-09T00:00:00Z,N/A,
TERN Ecosystem Processes,http://linked.data.gov.au/dataset/tern-ecosystem-processes,N/A,N/A,"Robson Creek, ha 12",http://linked.data.gov.au/dataset/biomass/site-robson-creek-ha12,20110113,http://linked.data.gov.au/dataset/tern-ecosystem-processes/sv-robson_creek__ha_12_20110113,2011-01-13T00:00:00Z,N/A,
